property_id,property_name,month_num,month_name,2024_actual_revenue,2024_occupancy_pct,2025_actual_revenue,2025_actual_nights,2025_occupancy_pct,revenue_target,occupancy_target_pct,notes
9d84e59c-4d85-4fc2-b7ba-d1c9cf037ed5,1035 Hesners Lake,1,Jan,,,,,,"$1,899",18%,
9d84e59c-4d85-4fc2-b7ba-d1c9cf037ed5,1035 Hesners Lake,2,Feb,,,,,,"$2,406",19%,
9d84e59c-4d85-4fc2-b7ba-d1c9cf037ed5,1035 Hesners Lake,3,Mar,,,,,,"$2,040",18%,
9d84e59c-4d85-4fc2-b7ba-d1c9cf037ed5,1035 Hesners Lake,4,Apr,,,,,,"$2,778",21%,
9d84e59c-4d85-4fc2-b7ba-d1c9cf037ed5,1035 Hesners Lake,5,May,,,,,,"$3,428",25%,
9d84e59c-4d85-4fc2-b7ba-d1c9cf037ed5,1035 Hesners Lake,6,Jun,,,,,,"$7,350",50%,
9d84e59c-4d85-4fc2-b7ba-d1c9cf037ed5,1035 Hesners Lake,7,Jul,,,,,,"$8,850",50%,
9d84e59c-4d85-4fc2-b7ba-d1c9cf037ed5,1035 Hesners Lake,8,Aug,,,,,,"$9,480",50%,
9d84e59c-4d85-4fc2-b7ba-d1c9cf037ed5,1035 Hesners Lake,9,Sep,,,,,,"$3,600",25%,
9d84e59c-4d85-4fc2-b7ba-d1c9cf037ed5,1035 Hesners Lake,10,Oct,,,,,,"$3,593",25%,
9d84e59c-4d85-4fc2-b7ba-d1c9cf037ed5,1035 Hesners Lake,11,Nov,,,,,,"$2,198",17%,
9d84e59c-4d85-4fc2-b7ba-d1c9cf037ed5,1035 Hesners Lake,12,Dec,,,,,,$882,15%,
1dfb6d25-0a99-452b-b509-03ae69bc0d8e,1051 Trafalgar Bay Road,1,Jan,,,,,,"$2,822",21%,
1dfb6d25-0a99-452b-b509-03ae69bc0d8e,1051 Trafalgar Bay Road,2,Feb,,,,,,"$3,528",28%,
1dfb6d25-0a99-452b-b509-03ae69bc0d8e,1051 Trafalgar Bay Road,3,Mar,,,,,,"$2,681",23%,
1dfb6d25-0a99-452b-b509-03ae69bc0d8e,1051 Trafalgar Bay Road,4,Apr,,,,,,"$3,864",30%,
1dfb6d25-0a99-452b-b509-03ae69bc0d8e,1051 Trafalgar Bay Road,5,May,,,,,,"$6,199",36%,
1dfb6d25-0a99-452b-b509-03ae69bc0d8e,1051 Trafalgar Bay Road,6,Jun,,,,,,"$10,253",46%,
1dfb6d25-0a99-452b-b509-03ae69bc0d8e,1051 Trafalgar Bay Road,7,Jul,,,,,,"$18,984",70%,
1dfb6d25-0a99-452b-b509-03ae69bc0d8e,1051 Trafalgar Bay Road,8,Aug,,,,,,$0,0%,
1dfb6d25-0a99-452b-b509-03ae69bc0d8e,1051 Trafalgar Bay Road,9,Sep,,,1567.33,2,6.7,"$5,206",42%,
1dfb6d25-0a99-452b-b509-03ae69bc0d8e,1051 Trafalgar Bay Road,10,Oct,,,2205.9,3,9.7,"$4,326",35%,
1dfb6d25-0a99-452b-b509-03ae69bc0d8e,1051 Trafalgar Bay Road,11,Nov,,,,,,"$3,767",23%,
1dfb6d25-0a99-452b-b509-03ae69bc0d8e,1051 Trafalgar Bay Road,12,Dec,,,3372.02,6,19.4,"$4,248",26%,
0f21b755-7557-4000-881c-e2b5a6e830b6,1053 Sanderson,1,Jan,,,,,,"$2,871",29%,
0f21b755-7557-4000-881c-e2b5a6e830b6,1053 Sanderson,2,Feb,,,1359.49,2,7.1,"$2,391",39%,
0f21b755-7557-4000-881c-e2b5a6e830b6,1053 Sanderson,3,Mar,,,,,,"$1,588",36%,
0f21b755-7557-4000-881c-e2b5a6e830b6,1053 Sanderson,4,Apr,,,2342.46,5,16.7,"$3,037",43%,
0f21b755-7557-4000-881c-e2b5a6e830b6,1053 Sanderson,5,May,,,4247.46,8,25.8,"$5,136",47%,
0f21b755-7557-4000-881c-e2b5a6e830b6,1053 Sanderson,6,Jun,,,10877,20,66.7,"$9,944",56%,
0f21b755-7557-4000-881c-e2b5a6e830b6,1053 Sanderson,7,Jul,,,16325.86,23,74.2,"$13,844",72%,
0f21b755-7557-4000-881c-e2b5a6e830b6,1053 Sanderson,8,Aug,,,24397.81,33,106.5,"$19,041",84%,
0f21b755-7557-4000-881c-e2b5a6e830b6,1053 Sanderson,9,Sep,,,10834.19,16,53.3,"$8,560",48%,
0f21b755-7557-4000-881c-e2b5a6e830b6,1053 Sanderson,10,Oct,,,5017.66,6,19.4,"$5,310",45%,
0f21b755-7557-4000-881c-e2b5a6e830b6,1053 Sanderson,11,Nov,,,,,,"$1,760",30%,
0f21b755-7557-4000-881c-e2b5a6e830b6,1053 Sanderson,12,Dec,,,2131.25,3,9.7,"$3,707",26%,
57d1532d-b09c-411d-b4a5-1373fbfda28c,1081 Bastedo,1,Jan,,,,,,$0,0%,
57d1532d-b09c-411d-b4a5-1373fbfda28c,1081 Bastedo,2,Feb,,,,,,$0,0%,
57d1532d-b09c-411d-b4a5-1373fbfda28c,1081 Bastedo,3,Mar,,,,,,$0,0%,
57d1532d-b09c-411d-b4a5-1373fbfda28c,1081 Bastedo,4,Apr,,,,,,$0,0%,
57d1532d-b09c-411d-b4a5-1373fbfda28c,1081 Bastedo,5,May,,,,,,$959,17%,
57d1532d-b09c-411d-b4a5-1373fbfda28c,1081 Bastedo,6,Jun,,,,,,"$3,195",45%,
57d1532d-b09c-411d-b4a5-1373fbfda28c,1081 Bastedo,7,Jul,,,,,,"$8,930",65%,
57d1532d-b09c-411d-b4a5-1373fbfda28c,1081 Bastedo,8,Aug,,,,,,"$8,618",72%,
57d1532d-b09c-411d-b4a5-1373fbfda28c,1081 Bastedo,9,Sep,,,,,,"$4,236",47%,
57d1532d-b09c-411d-b4a5-1373fbfda28c,1081 Bastedo,10,Oct,,,,,,$0,0%,
57d1532d-b09c-411d-b4a5-1373fbfda28c,1081 Bastedo,11,Nov,,,,,,$0,0%,
57d1532d-b09c-411d-b4a5-1373fbfda28c,1081 Bastedo,12,Dec,,,,,,$0,0%,
e2655e35-9c67-4469-95fd-c7f6c6043881,1086 Woodwinds,1,Jan,,,,,,$0,0%,
e2655e35-9c67-4469-95fd-c7f6c6043881,1086 Woodwinds,2,Feb,,,,,,$0,0%,
e2655e35-9c67-4469-95fd-c7f6c6043881,1086 Woodwinds,3,Mar,,,,,,$0,0%,
e2655e35-9c67-4469-95fd-c7f6c6043881,1086 Woodwinds,4,Apr,,,,,,$0,0%,
e2655e35-9c67-4469-95fd-c7f6c6043881,1086 Woodwinds,5,May,,,,,,"$3,004",17%,
e2655e35-9c67-4469-95fd-c7f6c6043881,1086 Woodwinds,6,Jun,,,,,,"$10,890",50%,
e2655e35-9c67-4469-95fd-c7f6c6043881,1086 Woodwinds,7,Jul,,,,,,"$19,068",70%,
e2655e35-9c67-4469-95fd-c7f6c6043881,1086 Woodwinds,8,Aug,,,,,,"$21,038",75%,
e2655e35-9c67-4469-95fd-c7f6c6043881,1086 Woodwinds,9,Sep,,,,,,$0,0%,
e2655e35-9c67-4469-95fd-c7f6c6043881,1086 Woodwinds,10,Oct,,,,,,$0,0%,
e2655e35-9c67-4469-95fd-c7f6c6043881,1086 Woodwinds,11,Nov,,,,,,$0,0%,
e2655e35-9c67-4469-95fd-c7f6c6043881,1086 Woodwinds,12,Dec,,,,,,$0,0%,
44efd35c-3864-4577-a840-6d298cfa4b9d,"111 Wychwood Cres, Kawartha",1,Jan,,,,,,$0,0%,
44efd35c-3864-4577-a840-6d298cfa4b9d,"111 Wychwood Cres, Kawartha",2,Feb,,,,,,$0,0%,
44efd35c-3864-4577-a840-6d298cfa4b9d,"111 Wychwood Cres, Kawartha",3,Mar,,,,,,$0,0%,
44efd35c-3864-4577-a840-6d298cfa4b9d,"111 Wychwood Cres, Kawartha",4,Apr,,,,,,$0,0%,
44efd35c-3864-4577-a840-6d298cfa4b9d,"111 Wychwood Cres, Kawartha",5,May,,,198.9,2,6.5,"$3,200",38%,
44efd35c-3864-4577-a840-6d298cfa4b9d,"111 Wychwood Cres, Kawartha",6,Jun,,,,,,"$4,800",52%,
44efd35c-3864-4577-a840-6d298cfa4b9d,"111 Wychwood Cres, Kawartha",7,Jul,,,,,,"$8,005",63%,
44efd35c-3864-4577-a840-6d298cfa4b9d,"111 Wychwood Cres, Kawartha",8,Aug,,,7290.8,7,22.6,"$17,200",66%,
44efd35c-3864-4577-a840-6d298cfa4b9d,"111 Wychwood Cres, Kawartha",9,Sep,,,466.7,3,10,"$4,600",32%,
44efd35c-3864-4577-a840-6d298cfa4b9d,"111 Wychwood Cres, Kawartha",10,Oct,,,,,,$0,0%,
44efd35c-3864-4577-a840-6d298cfa4b9d,"111 Wychwood Cres, Kawartha",11,Nov,,,,,,$0,0%,
44efd35c-3864-4577-a840-6d298cfa4b9d,"111 Wychwood Cres, Kawartha",12,Dec,,,,,,$0,0%,
4f7c7643-9744-4f20-a0a5-9fefcadf129e,1169 Leonard Lake,1,Jan,,,,,,$0,0%,
4f7c7643-9744-4f20-a0a5-9fefcadf129e,1169 Leonard Lake,2,Feb,,,,,,$0,0%,
4f7c7643-9744-4f20-a0a5-9fefcadf129e,1169 Leonard Lake,3,Mar,,,,,,$0,0%,
4f7c7643-9744-4f20-a0a5-9fefcadf129e,1169 Leonard Lake,4,Apr,,,,,,$0,0%,
4f7c7643-9744-4f20-a0a5-9fefcadf129e,1169 Leonard Lake,5,May,,,,,,"$4,730",36%,
4f7c7643-9744-4f20-a0a5-9fefcadf129e,1169 Leonard Lake,6,Jun,,,1383.22,2,6.7,"$5,103",45%,
4f7c7643-9744-4f20-a0a5-9fefcadf129e,1169 Leonard Lake,7,Jul,,,12255.99,23,74.2,"$21,610",72%,
4f7c7643-9744-4f20-a0a5-9fefcadf129e,1169 Leonard Lake,8,Aug,,,14582.66,19,61.3,"$24,945",76%,
4f7c7643-9744-4f20-a0a5-9fefcadf129e,1169 Leonard Lake,9,Sep,,,5663.83,8,26.7,"$5,612",41%,
4f7c7643-9744-4f20-a0a5-9fefcadf129e,1169 Leonard Lake,10,Oct,,,1656.76,2,6.5,"$3,747",46%,
4f7c7643-9744-4f20-a0a5-9fefcadf129e,1169 Leonard Lake,11,Nov,,,,,,$0,0%,
4f7c7643-9744-4f20-a0a5-9fefcadf129e,1169 Leonard Lake,12,Dec,,,,,,$0,0%,
a897ff48-dd4f-4da6-b548-fca213ff6015,119 Minnetonka,1,Jan,,,1687.55,3,9.7,"$2,527",29%,
a897ff48-dd4f-4da6-b548-fca213ff6015,119 Minnetonka,2,Feb,,,2525.49,4,14.3,"$2,824",38%,
a897ff48-dd4f-4da6-b548-fca213ff6015,119 Minnetonka,3,Mar,,,2264.17,4,12.9,"$2,184",31%,
a897ff48-dd4f-4da6-b548-fca213ff6015,119 Minnetonka,4,Apr,1718.2,6.7,3838.78,6,20,"$3,289",41%,
a897ff48-dd4f-4da6-b548-fca213ff6015,119 Minnetonka,5,May,9713.14,32.3,2783.77,3,9.7,"$4,251",45%,
a897ff48-dd4f-4da6-b548-fca213ff6015,119 Minnetonka,6,Jun,8913.52,40,15008.42,16,53.3,"$15,008",52%,
